ID,pixelcount,UTM
69718,0,33N
69719,2,33N
69720,41,33N
70024,73,33N
70025,47,33N
74384,7,33N
74386,22,33N
74387,81,33N
74388,149,33N
74385,2,33N
74581,229,33N
74580,36,33N
74579,12,33N
74584,308,33N
74582,97,33N
74586,9,33N
74587,4,33N
74585,10,33N
74583,53,33N
75930,11,33N
76493,11,33N
76495,291,33N
76496,736,33N
76494,269,33N
76569,23,33N
76567,114,33N
76568,110,33N
76570,306,33N
168647,78,33N
168648,119,33N
168650,96,33N
168649,234,33N
168651,40,33N
168849,28,33N
168850,65,33N
168851,21,33N
168852,101,33N
168853,0,33N
168854,64,33N
172775,0,33N
172776,86,33N
172773,64,33N
172774,5,33N
172779,59,33N
172777,112,33N
172778,265,33N
306493,378,33N
306494,73,33N
306495,22,33N
306496,265,33N
306497,276,33N
306498,273,33N
308155,3,33N
308156,209,33N
308158,174,33N
308157,400,33N
308159,154,33N
366956,70,33N
366957,7,33N
366959,95,33N
366960,126,33N
366958,116,33N
367396,17,33N
367397,168,33N
367398,212,33N
367400,142,33N
367399,154,33N
368336,7,33N
368337,10,33N
368340,3,33N
368341,363,33N
368339,25,33N
368342,156,33N
368338,59,33N
368343,32,33N
368770,34,33N
398308,2,33N
409396,55,33N
409785,168,33N
411009,106,33N
411419,49,33N
411418,31,33N
422500,310,33N
422502,0,33N
422499,459,33N
422505,374,33N
422506,0,33N
422501,88,33N
422504,53,33N
422851,75,33N
422850,124,33N
422853,254,33N
422852,982,33N
422855,621,33N
422854,334,33N
423607,0,33N
423609,8,33N
423610,496,33N
423603,49,33N
423611,411,33N
423972,147,33N
423971,1,33N
424734,47,33N
424733,13,33N
434353,0,33N
434355,172,33N
449878,37,33N
450294,9,33N
450292,36,33N
450295,68,33N
450297,220,33N
450293,10,33N
450296,115,33N
450624,269,33N
450626,173,33N
450623,328,33N
450622,90,33N
450625,45,33N
453552,347,33N
465160,225,33N
464662,235,33N
466179,20,33N
466178,20,33N
466184,57,33N
466185,69,33N
466186,9,33N
466535,1,33N
485987,369,33N
486591,243,33N
486595,93,33N
486594,5,33N
486597,47,33N
486596,203,33N
486593,2,33N
489206,0,33N
489205,150,33N
524788,96,33N
524790,0,33N
524791,1,33N
525109,0,33N
525112,23,33N
525110,12,33N
529834,295,33N
529830,183,33N
529510,173,33N
548660,75,33N
548657,82,33N
548664,0,33N
548669,29,33N
548665,417,33N
548659,268,33N
638023,28,33N
638028,306,33N
638025,491,33N
638027,91,33N
638033,304,33N
638024,17,33N
638032,417,33N
638029,612,33N
638439,604,33N
638438,161,33N
638437,290,33N
701812,72,33N
701811,83,33N
702205,268,33N
917713,126,33N
917734,292,33N
918019,0,33N
918020,27,33N
918023,350,33N
918021,385,33N
918031,86,33N
918032,224,33N
918025,77,33N
918024,114,33N
918453,92,33N
918452,112,33N
918454,26,33N
918785,409,33N
918792,0,33N
918794,284,33N
918797,156,33N
918798,208,33N
918795,96,33N
918800,81,33N
918791,107,33N
918799,76,33N
918793,198,33N
918796,164,33N
978517,82,33N
980669,190,33N
978942,0,33N
980670,2,33N
978941,0,33N
978937,832,33N
978936,86,33N
978933,9,33N
978932,98,33N
978938,216,33N
978943,97,33N
980970,90,33N
980971,5,33N
980969,12,33N
980964,2,33N
980965,32,33N
980963,2,33N
984025,0,33N
984027,7,33N
984031,14,33N
984033,234,33N
984023,644,33N
984364,149,33N
991399,315,33N
991787,0,33N
992174,233,33N
992179,23,33N
992175,329,33N
992176,88,33N
992181,102,33N
992180,78,33N
999839,0,33N
999840,15,33N
999842,226,33N
999844,67,33N
999841,13,33N
999846,0,33N
999845,71,33N
999843,232,33N
1000246,98,33N
1000245,187,33N
1002811,0,33N
1003904,0,33N
1003903,16,33N
1018263,72,33N
1018265,4,33N
1022558,349,33N
1022559,42,33N
1022557,235,33N
1022556,472,33N
1022869,335,33N
1023969,19,33N
1028038,0,33N
1028036,260,33N
1028035,1,33N
1028037,919,33N
1028769,12,33N
1028765,35,33N
1028768,62,33N
1028770,110,33N
1028766,11,33N
1028771,652,33N
1028767,0,33N
1026772,8,33N
1026774,93,33N
1032693,93,33N
1039745,326,33N
1039748,148,33N
1039744,335,33N
1043201,495,33N
1043200,328,33N
1088602,1,33N
1088603,3,33N
1088601,246,33N
1093607,209,33N
1094043,11,33N
1094044,71,33N
1094046,178,33N
1094049,0,33N
1094041,116,33N
1094053,189,33N
1094045,10,33N
1094042,76,33N
1094047,6,33N
1094050,476,33N
1094048,163,33N
1094052,92,33N
1094051,151,33N
1095291,294,33N
1095292,384,33N
1097781,327,33N
1098175,404,33N
1115514,34,33N
1115516,123,33N
1115515,78,33N
1115517,83,33N
1115518,25,33N
1115845,4,33N
1115846,0,33N
1115847,7,33N
1119359,24,33N
1119360,87,33N
1119358,128,33N
1122214,0,33N
1126488,108,33N
1126489,29,33N
